Title;Artist;Genre
Shut Down;BLACKPINK;Pop, K-Pop (케이팝), Modern Classical, Orchestral, Girl Group, South Korea, Genius Korea
Pink Venom;BLACKPINK;Pop, Korean, Hip-Hop, K-Pop (케이팝), Girl Group, South Korea, Genius Korea
I'm Good (Blue);David Guetta & Bebe Rexha;Pop, Rap, Hip-Hop, Cloud Rap, Trap, Conscious Hip-Hop, Memes, West Coast
As It Was;Harry Styles;Rock, Pop, Electronic, UK Pop, Dance Rock, Funk Rock, Funk, New Wave, Synth Rock, Alternative, Alternative Rock, Funk-Pop, Alternative Pop, Dance-Pop, Dance, Pop-Rock, Synth-Pop, UK
Me Porto Bonito;Bad Bunny & Chencho Corleone;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music
I Ain't Worried;OneRepublic;Pop, Pop-Rock, Soundtrack
Bzrp Music Sessions, Vol. 52;Bizarrap & Quevedo;Pop, Rap, Pop Rap, Trap, Spanish Rap, House, Spanish Pop, En Español, Spanish Music, Argentina, Spanish Urban
Titi Me Pregunto;Bad Bunny;Pop, Latin Trap, Trap, Dembow, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music
Under The Influence;Chris Brown;R&B, Alternative R&B, Alternative, DMV
Super Freaky Girl;Nicki Minaj;Rap, Pop, TikTok, Electro-Pop, Dance, Clash, Trap, Electronic, East Coast, Electronic Trap, Dance-Pop, Trinidad & Tobago
La Bachata;Manuel Turizo;Pop, Colombia, Bachata, En Español, Latin Pop, Latin Urban, Latin Music
Despecha;Rosalia;Pop, Latin Pop, Merengue, Mambo, Spanish Music, Spanish Urban, Spanish Pop, En Español
Calm Down;Rema & Selena Gomez;R&B, Chillout, Pop-R&B, Contemporary R&B, Nigeria, Afrobeats
Bad Habit;Steve Lacy;Pop, R&B, Alternative, Soul Pop, Neo Soul, Psychedelic Soul, Soul, Psychedelic, Pop-Rock, Alternative Pop, Alternative R&B
Efecto;Bad Bunny;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music
Typa Girl;BLACKPINK;Pop, K-Pop (케이팝), Hip-Hop, Girl Group, South Korea, Genius Korea
Heat Waves;Glass Animals;R&B, Pop, Trap, Electronic Trap, UK R&B, Alternative R&B, Electro-Pop, Psychedelic, Alternative, Electronic, Adult Alternative, Trip-Hop, UK, Alternative Pop, Synth-Pop
Snap;Rosa Linn;Country, Pop, Pop Country, Armenia, Eurovision
Another Love;Tom Odell;Pop, Rock, UK Pop, Adult Alternative, British Rock, Alternative, Alternative Rock, Piano Rock, UK, Ballad, Singer-Songwriter, Alternative Pop, Piano, Pop-Rock
Ojitos Lindos;Bad Bunny & Bomba Estereo;Pop, Colombia, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music
