Title,Artist,Rank,Last Week,Peak Positon,Weeks on charts,Date
Shut Down,BLACKPINK,1,-,1,1,2022-10-01
Pink Venom,BLACKPINK,2,4,1,5,2022-10-01
I'm Good (Blue),David Guetta & Bebe Rexha,3,2,2,4,2022-10-01
As It Was,Harry Styles,4,1,1,25,2022-10-01
Me Porto Bonito,Bad Bunny & Chencho Corleone,5,3,2,20,2022-10-01
I Ain't Worried,OneRepublic,6,8,6,16,2022-10-01
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,7,5,1,11,2022-10-01
Titi Me Pregunto,Bad Bunny,8,6,4,20,2022-10-01
Under The Influence,Chris Brown,9,9,9,9,2022-10-01
Super Freaky Girl,Nicki Minaj,10,7,5,6,2022-10-01
La Bachata,Manuel Turizo,11,10,10,11,2022-10-01
Despecha,Rosalia,12,11,6,8,2022-10-01
Calm Down,Rema & Selena Gomez,13,12,12,12,2022-10-01
Bad Habit,Steve Lacy,14,13,10,11,2022-10-01
Efecto,Bad Bunny,15,14,7,20,2022-10-01
Typa Girl,BLACKPINK,16,-,16,1,2022-10-01
Heat Waves,Glass Animals,17,16,1,90,2022-10-01
Snap,Rosa Linn,18,19,18,11,2022-10-01
Another Love,Tom Odell,19,20,19,73,2022-10-01
Ojitos Lindos,Bad Bunny & Bomba Estereo,20,17,4,20,2022-10-01
Running Up That Hill (A Deal With God),Kate Bush,21,15,1,17,2022-10-01
Moscow Mule,Bad Bunny,22,18,2,20,2022-10-01
Save Your Tears,The Weeknd & Ariana Grande,23,24,1,90,2022-10-01
Neverita,Bad Bunny,24,23,16,20,2022-10-01
Glimpse Of Us,Joji,25,21,2,15,2022-10-01
Sunroof,Nicky Youre & dazy,26,28,26,18,2022-10-01
Hard To Love,BLACKPINK,27,-,27,1,2022-10-01
Cold Heart (PNAU Remix),Elton John & Dua Lipa,28,27,3,58,2022-10-01
I Like You (A Happier Song),Post Malone Featuring Doja Cat,29,29,7,16,2022-10-01
Hold Me Closer,Elton John & Britney Spears,30,26,6,4,2022-10-01
Provenza,Karol G,31,22,6,22,2022-10-01
Stay,The Kid LAROI & Justin Bieber,32,30,1,63,2022-10-01
Ferrari,James Hype & Miggy Dela Rosa,33,25,25,14,2022-10-01
The Happiest Girl,BLACKPINK,34,-,34,1,2022-10-01
About Damn Time,Lizzo,35,32,6,23,2022-10-01
Levitating,Dua Lipa,36,38,2,103,2022-10-01
Jimmy Cooks,Drake Featuring 21 Savage,37,34,3,14,2022-10-01
Gatubela,Karol G x Maldy,38,31,23,4,2022-10-01
Late Night Talking,Harry Styles,39,33,2,18,2022-10-01
Sweater Weather,The Neighbourhood,40,49,40,104,2022-10-01
Shivers,Ed Sheeran,41,36,3,54,2022-10-01
Die For You,The Weeknd,42,43,42,29,2022-10-01
Yeah Yeah Yeah,BLACKPINK,43,-,43,1,2022-10-01
Left And Right,Charlie Puth Featuring Jung Kook,44,37,5,13,2022-10-01
Blinding Lights,The Weeknd,45,42,2,107,2022-10-01
Doja,Central Cee,46,39,19,9,2022-10-01
After Like,IVE,47,35,20,5,2022-10-01
Bones,Imagine Dragons,48,44,43,28,2022-10-01
Something In The Orange,Zach Bryan,49,54,49,21,2022-10-01
B.O.T.A. (Baddest Of Them All),Eliza Rose & Interplanetary Criminal,50,57,50,4,2022-10-01
Wait For U,Future Featuring Drake & Tems,51,45,2,21,2022-10-01
Tally,BLACKPINK,52,-,52,1,2022-10-01
Break My Soul,Beyonce,53,41,6,14,2022-10-01
Bad Habits,Ed Sheeran,54,47,1,65,2022-10-01
Cuff It,Beyonce,55,97,13,8,2022-10-01
Romantic Homicide,d4vd,56,64,56,3,2022-10-01
Vegas,Doja Cat,57,46,28,17,2022-10-01
Talk That Talk,TWICE,58,40,18,4,2022-10-01
Forget Me,Lewis Capaldi,59,48,48,2,2022-10-01
Ready For Love,BLACKPINK,60,-,60,2,2022-10-01
The Kind Of Love We Make,Luke Combs,61,71,38,14,2022-10-01
Until I Found You,Stephen Sanchez,62,53,44,19,2022-10-01
Tarot,Bad Bunny & Jhay Cortez,63,52,9,20,2022-10-01
Enemy,Imagine Dragons X JID,64,56,3,47,2022-10-01
Mary On A Cross,Ghost,65,50,50,5,2022-10-01
You Proof,Morgan Wallen,66,51,22,19,2022-10-01
Party,Bad Bunny & Rauw Alejandro,67,55,8,20,2022-10-01
Lokera,"Rauw Alejandro, Lyanno & Brray",68,61,61,6,2022-10-01
Last Last,Burna Boy,69,60,39,16,2022-10-01
Perfect,Ed Sheeran,70,67,30,107,2022-10-01
Hype Boy,NewJeans,71,59,52,7,2022-10-01
Golden Hour,JVKE,72,79,72,4,2022-10-01
Yellow,Coldplay,73,68,68,76,2022-10-01
New Genesis,Ado,74,58,20,8,2022-10-01
Bam Bam,Camila Cabello Featuring Ed Sheeran,75,66,5,29,2022-10-01
Happier Than Ever,Billie Eilish,76,76,6,60,2022-10-01
First Class,Jack Harlow,77,65,2,24,2022-10-01
Starboy,The Weeknd Featuring Daft Punk,78,72,52,64,2022-10-01
Pepas,Farruko,79,69,7,62,2022-10-01
Ku Lo Sa,Oxlade,80,80,80,3,2022-10-01
Ghost,Justin Bieber,81,73,16,53,2022-10-01
Te Felicito,Shakira & Rauw Alejandro,82,63,11,22,2022-10-01
Numb,Marshmello & Khalid,83,78,66,15,2022-10-01
Believer,Imagine Dragons,84,82,52,107,2022-10-01
Caile,Luar La L,85,70,67,6,2022-10-01
Unstoppable,Sia,86,83,83,32,2022-10-01
Billie Eilish.,Armani White,87,119,87,3,2022-10-01
La Corriente,Bad Bunny & Tony Dize,88,75,17,20,2022-10-01
Industry Baby,Lil Nas X & Jack Harlow,89,86,2,61,2022-10-01
Baby Shark,Pinkfong,90,77,38,106,2022-10-01
Someone You Loved,Lewis Capaldi,91,85,24,107,2022-10-01
Feliz Cumpleanos Ferxxo,Feid,92,106,92,3,2022-10-01
Summertime Sadness,Lana Del Rey vs. Cedric Gervais,93,89,89,10,2022-10-01
Dandelions,Ruth B.,94,84,51,36,2022-10-01
Easy On Me,Adele,95,91,1,50,2022-10-01
Shape Of You,Ed Sheeran,96,94,55,107,2022-10-01
Attention,NewJeans,97,74,54,7,2022-10-01
Ultra Solo,Polima WestCoast Featuring Pailita,98,81,24,21,2022-10-01
One Kiss,Calvin Harris & Dua Lipa,99,96,43,17,2022-10-01
Sweet Child O' Mine,Guns N' Roses,100,92,57,76,2022-10-01
Watermelon Sugar,Harry Styles,101,95,9,107,2022-10-01
Hotel,Montell Fish,102,-,102,1,2022-10-01
505,Arctic Monkeys,103,100,100,31,2022-10-01
Bound 2,Kanye West,104,108,104,3,2022-10-01
abcdefu,GAYLE,105,102,1,45,2022-10-01
Ojos Marrones,Lasso,106,87,66,12,2022-10-01
I'm Not The Only One,Sam Smith,107,103,103,5,2022-10-01
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,108,105,41,107,2022-10-01
Despues de La Playa,Bad Bunny,109,93,7,20,2022-10-01
Call Out My Name,The Weeknd,110,101,97,14,2022-10-01
Only Love Can Hurt Like This,Paloma Faith,111,90,75,19,2022-10-01
September,"Earth, Wind & Fire",112,-,102,4,2022-10-01
Circles,Post Malone,113,109,49,107,2022-10-01
Viva La Vida,Coldplay,114,115,114,5,2022-10-01
Lovely,Billie Eilish & Khalid,115,121,70,107,2022-10-01
Without Me,Eminem,116,116,39,50,2022-10-01
Thank God,Kane Brown With Katelyn Brown,117,62,62,2,2022-10-01
Shinunoga E-Wa,Fujii Kaze,118,188,118,2,2022-10-01
I Wanna Be Yours,Arctic Monkeys,119,139,119,3,2022-10-01
Rock And A Hard Place,Bailey Zimmerman,120,114,59,15,2022-10-01
Where Are You Now,Lost Frequencies & Calum Scott,121,98,22,54,2022-10-01
Murder In My Mind,Kordhell,122,113,113,6,2022-10-01
Betty (Get Money),Yung Gravy,123,99,81,11,2022-10-01
Don't You Worry,"Black Eyed Peas, Shakira + David Guetta",124,118,103,7,2022-10-01
Evergreen,Omar Apollo,125,-,125,1,2022-10-01
Middle Of The Night,Elley Duhe,126,110,25,36,2022-10-01
I Was Never There,The Weeknd Featuring Gesaffelstein,127,125,125,9,2022-10-01
MAMIII,Becky G X Karol G,128,107,4,32,2022-10-01
Staying Alive,DJ Khaled Featuring Drake & Lil Baby,129,88,10,7,2022-10-01
Something Just Like This,The Chainsmokers & Coldplay,130,126,102,90,2022-10-01
Dance Monkey,Tones And I,131,122,16,107,2022-10-01
La Cancion,J Balvin & Bad Bunny,132,123,123,23,2022-10-01
Dynamite,BTS,133,124,1,107,2022-10-01
Do I Wanna Know?,Arctic Monkeys,134,128,127,18,2022-10-01
Shallow,Lady Gaga & Bradley Cooper,135,131,59,107,2022-10-01
The Hills,The Weeknd,136,135,44,36,2022-10-01
Love Nwantiti (Ah Ah Ah),CKay,137,133,2,54,2022-10-01
Everybody Wants To Rule The World,Tears For Fears,138,136,108,16,2022-10-01
Desesperados,Rauw Alejandro & Chencho Corleone,139,111,13,40,2022-10-01
Wasted On You,Morgan Wallen,140,146,19,35,2022-10-01
Bohemian Rhapsody,Queen,141,129,97,103,2022-10-01
Un Ratito,Bad Bunny,142,112,11,20,2022-10-01
Counting Stars,OneRepublic,143,142,96,82,2022-10-01
Atlantis,Seafret,144,140,140,4,2022-10-01
Smells Like Teen Spirit,Nirvana,145,137,92,88,2022-10-01
My Universe,Coldplay x BTS,146,132,1,52,2022-10-01
No Role Modelz,J. Cole,147,147,97,66,2022-10-01
