Title;Artist;Rank;Last Week;Peak Positon;Weeks on charts;Date;Genre;Producers;Writers;Distributor
Shut Down;BLACKPINK;1;-;1;1;2022-10-01;Pop, K-Pop (케이팝), Modern Classical, Orchestral, Girl Group, South Korea, Genius Korea;Teddy Park & 24;Teddy Park, Danny Chung & Vince (KOR);None
Pink Venom;BLACKPINK;2;4;1;5;2022-10-01;Pop, Korean, Hip-Hop, K-Pop (케이팝), Girl Group, South Korea, Genius Korea;Teddy Park, 24, R.Tee & IDO (KOR);Teddy Park, , R.Tee, Danny Chung & IDO (KOR);None
I'm Good (Blue);David Guetta & Bebe Rexha;3;2;2;4;2022-10-01;Pop, Rap, Hip-Hop, Cloud Rap, Trap, Conscious Hip-Hop, Memes, West Coast;T-Minus & Nikhil Seetharam;Kendrick Lamar, T-Minus & Nikhil Seetharam;Universal Music Group
As It Was;Harry Styles;4;1;1;25;2022-10-01;Rock, Pop, Electronic, UK Pop, Dance Rock, Funk Rock, Funk, New Wave, Synth Rock, Alternative, Alternative Rock, Funk-Pop, Alternative Pop, Dance-Pop, Dance, Pop-Rock, Synth-Pop, UK;Tyler Johnson & Kid Harpoon;Kid Harpoon, Tyler Johnson & Harry Styles;Sony Music Entertainment
Me Porto Bonito;Bad Bunny & Chencho Corleone;5;3;2;20;2022-10-01;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;Subelo NEO, Lennex, MAG & La Paciencia;Chencho Corleone & Bad Bunny;The Orchard
I Ain't Worried;OneRepublic;6;8;6;16;2022-10-01;Pop, Pop-Rock, Soundtrack;Simon Oscroft, Tyler Spry, Brent Kutzle & Ryan Tedder;Björn Yttling, Tyler Spry, Peter Morén, Brent Kutzle, John Eriksson & Ryan Tedder;None
Bzrp Music Sessions, Vol. 52;Bizarrap & Quevedo;7;5;1;11;2022-10-01;Pop, Rap, Pop Rap, Trap, Spanish Rap, House, Spanish Pop, En Español, Spanish Music, Argentina, Spanish Urban;Bizarrap;Santiago Alvarado, Quevedo & Bizarrap;The Orchard
Titi Me Pregunto;Bad Bunny;8;6;4;20;2022-10-01;Pop, Latin Trap, Trap, Dembow, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;MAG & La Paciencia;Bad Bunny;The Orchard
Under The Influence;Chris Brown;9;9;9;9;2022-10-01;R&B, Alternative R&B, Alternative, DMV;Kiddominant;Tiffany McKie, Davido, Kiddominant & Chris Brown;None
Super Freaky Girl;Nicki Minaj;10;7;5;6;2022-10-01;Rap, Pop, TikTok, Electro-Pop, Dance, Clash, Trap, Electronic, East Coast, Electronic Trap, Dance-Pop, Trinidad & Tobago;Dr. Luke, Malibu Babie, Vaughn Oliver & Aaron Joseph;Alonzo Miller, Rick James, Nicki Minaj, Dr. Luke, Aaron Joseph, Lauren Miller, LunchMoney Lewis & Vaughn Oliver;Universal Music Group
La Bachata;Manuel Turizo;11;10;10;11;2022-10-01;Pop, Colombia, Bachata, En Español, Latin Pop, Latin Urban, Latin Music;Edge & Casta;Casta, Juan Diego Medina, Edge, Rios (PR) & Manuel Turizo;None
Despecha;Rosalia;12;11;6;8;2022-10-01;Pop, Latin Pop, Merengue, Mambo, Spanish Music, Spanish Urban, Spanish Pop, En Español;Chris Jedi, Gaby Music, Noah Goldstein, Sir Dylan & ROSALÍA;ROSALÍA, Chris Jedi, Gaby Music, Noah Goldstein, Sir Dylan, Dímelo Ninow & David Rodríguez;Columbia Records
Calm Down;Rema & Selena Gomez;13;12;12;12;2022-10-01;R&B, Chillout, Pop-R&B, Contemporary R&B, Nigeria, Afrobeats;Andrevibez & London;Rema;Universal Music Group
Bad Habit;Steve Lacy;14;13;10;11;2022-10-01;Pop, R&B, Alternative, Soul Pop, Neo Soul, Psychedelic Soul, Soul, Psychedelic, Pop-Rock, Alternative Pop, Alternative R&B;Steve Lacy;Matthew Castellanos, John Kirby, Diana Gordon, & Steve Lacy;RCA Records & L-M Records
Efecto;Bad Bunny;15;14;7;20;2022-10-01;Pop, Reggaetón, Puerto Rico, En Español, Latin Pop, Latin Urban, Latin Music;La Paciencia, Bass Charity & MAG;Bad Bunny;The Orchard
Typa Girl;BLACKPINK;16;-;16;1;2022-10-01;Pop, K-Pop (케이팝), Hip-Hop, Girl Group, South Korea, Genius Korea;Dominsuk & Bekuh BOOM;Bekuh BOOM;None
Heat Waves;Glass Animals;17;16;1;90;2022-10-01;R&B, Pop, Trap, Electronic Trap, UK R&B, Alternative R&B, Electro-Pop, Psychedelic, Alternative, Electronic, Adult Alternative, Trip-Hop, UK, Alternative Pop, Synth-Pop;Dave Bayley;Dave Bayley;Universal Music Group
Snap;Rosa Linn;18;19;18;11;2022-10-01;Country, Pop, Pop Country, Armenia, Eurovision;Alex Salibian, Ethan Schneiderman & Larzz Principato;Rosa Linn, Larzz Principato, Jeremy Dusoulet, Allie Crystal, Tamar Kaprelian & Courtney Harrell;None
Another Love;Tom Odell;19;20;19;73;2022-10-01;Pop, Rock, UK Pop, Adult Alternative, British Rock, Alternative, Alternative Rock, Piano Rock, UK, Ballad, Singer-Songwriter, Alternative Pop, Piano, Pop-Rock;Dan Grech-Marguerat;Tom Odell;Sony Music Entertainment
