Title,Artist,Rank,Last Week,Peak Positon,Weeks on charts
Flowers,Miley Cyrus,1,1,1,4
Kill Bill,SZA,2,3,1,9
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,3,2,2,5
Unholy,Sam Smith & Kim Petras,4,4,1,20
Calm Down,Rema & Selena Gomez,5,5,3,32
Creepin',"Metro Boomin, The Weeknd & 21 Savage",6,6,3,10
As It Was,Harry Styles,7,10,1,45
Escapism,RAYE Featuring 070 Shake,8,7,7,11
I'm Good (Blue),David Guetta & Bebe Rexha,9,9,2,24
Anti-Hero,Taylor Swift,10,8,1,16
Last Night,Morgan Wallen,11,70,11,2
OMG,NewJeans,12,11,10,6
Sure Thing,Miguel,13,13,13,8
Ditto,NewJeans,14,12,8,8
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,15,-,15,1
Yandel 150,Yandel & Feid,16,16,16,5
La Bachata,Manuel Turizo,17,17,6,31
Until I Found You,Stephen Sanchez,18,15,11,39
Golden Hour,JVKE,19,18,13,24
Die For You,The Weeknd,20,23,20,49
Made You Look,Meghan Trainor,21,14,6,16
La Jumpa,Arcangel & Bad Bunny,22,22,14,10
Cuff It,Beyonce,23,37,12,28
I Ain't Worried,OneRepublic,24,20,5,36
Save Your Tears,The Weeknd & Ariana Grande,25,21,1,110
Another Love,Tom Odell,26,19,14,93
Rich Flex,Drake & 21 Savage,27,25,1,14
Snooze,SZA,28,29,28,9
Bebe Dame,Fuerza Regida X Grupo Frontera,29,24,17,6
X Si Volvemos,Karol G x Romeo Santos,30,-,30,1
Hey Mor,Ozuna Featuring Feid,31,30,27,17
Under The Influence,Chris Brown,32,31,3,29
Just Wanna Rock,Lil Uzi Vert,33,33,30,17
Players,Coi Leray,34,50,34,5
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,35,26,1,31
Miss You,Oliver Tree & Robin Schulz,36,27,11,18
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",37,32,8,10
Love Again,The Kid LAROI,38,28,28,2
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",39,40,39,5
Here With Me,d4vd,40,34,34,13
10:35,Tiesto Featuring Tate McRae,41,38,38,11
